	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00000032	TFCN17334Y5_011546-T1, TFCN17334Y5_010917-T1, TFCN17334Y5_011555-T1, TFCN17334Y5_011554-T1, TFCN17334Y5_011547-T1, TFCN17334Y5_013349-T1, TFCN17334Y5_010918-T1, TFCN17334Y5_011559-T1, TFCN17334Y5_011558-T1, TFCN17334Y5_013350-T1
GF00000033	TFCN17334Y5_012791-T1, TFCN17334Y5_006453-T1, TFCN17334Y5_010909-T1, TFCN17334Y5_000051-T1, TFCN17334Y5_000186-T1, TFCN17334Y5_007396-T1, TFCN17334Y5_011128-T1, TFCN17334Y5_005385-T1, TFCN17334Y5_005474-T1, TFCN17334Y5_006792-T1
GF00000034	TFCN17334Y5_006725-T1, TFCN17334Y5_009557-T1, TFCN17334Y5_003559-T1, TFCN17334Y5_006105-T1, TFCN17334Y5_008885-T1, TFCN17334Y5_013219-T1, TFCN17334Y5_012412-T1, TFCN17334Y5_014632-T1, TFCN17334Y5_006317-T1, TFCN17334Y5_014624-T1
GF00000035	TFCN17334Y5_002505-T1, TFCN17334Y5_007627-T1, TFCN17334Y5_008332-T1, TFCN17334Y5_007626-T1, TFCN17334Y5_007629-T1, TFCN17334Y5_007628-T1, TFCN17334Y5_014502-T1, TFCN17334Y5_002117-T1, TFCN17334Y5_002116-T1
GF00000036	TFCN17334Y5_003910-T1, TFCN17334Y5_003237-T1, TFCN17334Y5_013675-T1, TFCN17334Y5_010598-T1, TFCN17334Y5_012728-T1, TFCN17334Y5_006687-T1, TFCN17334Y5_004493-T1, TFCN17334Y5_009200-T1, TFCN17334Y5_008854-T1
GF00000037	TFCN17334Y5_006479-T1, TFCN17334Y5_013625-T1, TFCN17334Y5_004358-T1, TFCN17334Y5_011882-T1, TFCN17334Y5_001717-T1, TFCN17334Y5_009122-T1, TFCN17334Y5_009831-T1, TFCN17334Y5_001048-T1, TFCN17334Y5_011884-T1
GF00000038	TFCN17334Y5_003331-T1, TFCN17334Y5_010740-T1, TFCN17334Y5_010383-T1, TFCN17334Y5_010012-T1, TFCN17334Y5_005687-T1, TFCN17334Y5_005686-T1, TFCN17334Y5_010741-T1, TFCN17334Y5_005685-T1, TFCN17334Y5_014396-T1
GF00000039	TFCN17334Y5_008976-T1, TFCN17334Y5_000383-T1, TFCN17334Y5_008984-T1, TFCN17334Y5_009869-T1, TFCN17334Y5_006256-T1, TFCN17334Y5_000376-T1, TFCN17334Y5_004842-T1, TFCN17334Y5_001419-T1, TFCN17334Y5_008977-T1
GF00000040	TFCN17334Y5_008295-T1, TFCN17334Y5_000920-T1, TFCN17334Y5_006488-T1, TFCN17334Y5_009862-T1, TFCN17334Y5_006263-T1, TFCN17334Y5_002530-T1, TFCN17334Y5_008255-T1, TFCN17334Y5_009694-T1, TFCN17334Y5_009695-T1
GF00000041	TFCN17334Y5_001464-T1, TFCN17334Y5_007237-T1, TFCN17334Y5_006920-T1, TFCN17334Y5_001008-T1, TFCN17334Y5_001677-T1, TFCN17334Y5_000606-T1, TFCN17334Y5_013876-T1, TFCN17334Y5_000311-T1, TFCN17334Y5_013877-T1
